Kode,Uraian,Nilai_Jumlah,Nilai_Rupiah,Mutasi_Masuk,Mutasi_Keluar,Mutasi_Jumlah,Jumlah,Rupiah,Tahun,Rata2_Mutasi_Keluar,Prioritas,Flow_Category
1714,Tang Multifungsi Otomatis 3 in 1,14,0,6.0,14,-8,6,384000,2024,7.0,1,2
1715,Water Heater/ heater celup air,4,0,2.0,4,-2,2,47952,2024,2.0,0,2
1716,Arrow Klip Besar Merah,249,0,100.0,249,-149,100,233100,2024,124.5,1,2
1717,Thermal Pasta / Pasta Gelid GC-Extreme (CPU) ( TC-GC-03-A ) 3 gram,3,0,2.0,3,-1,2,198000,2024,1.5,0,2
1718,Arrow Klip Besar Hitam,149,0,100.0,149,-49,100,233100,2024,74.5,0,2
1719,Raspberry Pi 4 Model B 8GB,46,0,33.0,46,-13,33,69230700,2024,23.0,0,2
1735,Collet Set 18 Holder ER40,1,0,0.0,0,0,1,3596400,2024,0.0,0,0
1736,Solder Tembak Goot 40W,22,0,2.0,22,-20,2,559440,2024,11.0,1,2
1737,USB TO RS232 / RS485 / TTL Industrial Isolated Converter,9,0,2.0,9,-7,2,164700,2024,4.5,1,2
1745,VR 100k,99,0,250.0,99,151,250,333000,2024,49.5,0,2
1747,"Headsink sayap(1,6 cm x 2,4 cm)",29,0,100.0,29,71,100,432900,2024,14.5,0,2
1748,IC FOD 3182,154,0,40.0,154,-114,40,2131200,2024,77.0,1,2
1751,Heat Shrink 328pcs 5 warna 8 ukuran Selang Kabel Bakar Heatshrink,31,0,5.0,31,-26,5,127650,2024,15.5,1,2
1752,AC / DC Adapter untuk DVE DSA60PFB-12 1 120500 Dee Van DSA60PFB-121 120500 DSA60PFB121120500 Switching PSU,2,0,6.0,2,4,6,804000,2024,1.0,0,2
1753,BTN7970B package: TO263-7,9,0,14.0,9,5,14,444444,2024,4.5,0,2
1756,KIT STK 417-100 POWER AMPLY By SANYO,4,0,5.0,4,1,5,466650,2024,2.0,0,2
1757,GY-521 MPU6050 Module 6DOF Module (Triaxial Accelerometer + Triaxial Gyroscope),19,0,10.0,19,-9,10,243090,2024,9.5,0,2
1760,Mata Solder Tembak-Crystal,2,0,5.0,2,3,5,107050,2024,1.0,0,2
1762,"YELLOW Transparent RPG Dice Set (D4, D6, D8, D10, D10%, D12, D20)",1,0,30.0,1,29,30,1823190,2024,0.5,0,2
1764,RED Blank Dice D6 Multicolor 16mmDadu plastik susu,9,0,30.0,9,21,30,143190,2024,4.5,0,2
1765,SOLID BLACK Dadu Dot Warna Warni - D6 DiceDadu sisi 6 dengan dot ukuran 14mm,9,0,60.0,9,51,60,219780,2024,4.5,0,2
1766,YELLOW Blank Dice D6 Multicolor 16mmDadu plastik susu,9,0,50.0,9,41,50,238650,2024,4.5,0,2
1769,Kotak Komponen-isi 60,0,0,2.0,0,2,2,798000,2024,0.0,0,1
1770,RGB Pocket LED Model LED6R,0,0,3.0,0,3,3,3594000,2024,0.0,0,1
1771,Skun kabel-6mm,0,0,500.0,0,500,500,300000,2024,0.0,0,1
1772,Spacer 5cm Female-Female,0,0,50.0,0,50,50,150000,2024,0.0,0,1
1773,Spacer 6cm Female-Female,0,0,50.0,0,50,50,150000,2024,0.0,0,1
1774,Strap Belt Sabuk Battery Lipo Pj 25cm,0,0,10.0,0,10,10,40000,2024,0.0,0,1
1775,Spluit Suntikan Tinta dan Jarum 10 ml,0,0,15.0,0,15,15,30000,2024,0.0,0,1
1776,ESP32 IoT Starter Kit update,0,0,1.0,0,1,1,598000,2024,0.0,0,1
